ERROR-SYMBOL AND VN-PAIR ANALYSIS AT 14.0 dB
===========================================================================

SIMULATION INFORMATION
---------------------------------------------------------------------------
Eb/N0                     : 14.0 dB
Total generated frames    : 219156
Total failed frames       : 200
Observed frame error rate : 9.125919e-04

1. ERROR SYMBOLS IN EVERY FAILED FRAME
---------------------------------------------------------------------------
     Frame   VN index     True symbol  Decoded symbol
---------------------------------------------------------------------------
       159         26               2               1
       159         31               7               3
      3077         26               2               3
      3077         31               7               2
      3246         22               4               5
      3246         37               0               4
      3490         26               2               6
      3490         31               7               2
      4428         26               2               1
      4428         31               7               3
      4563         26               2               1
      4563         31               7               3
      5024         26               2               6
      5024         31               7               2
      5510         22               4               5
      5510         37               0               4
      6621         22               4               2
      6621         37               0               1
      6659         22               4               2
      6659         37               0               1
      7264         26               2               1
      7264         31               7               6
      8578         10               2               1
      8578         28               5               4
      8578         29               6               5
      8905         26               2               1
      8905         31               7               3
     14185         22               4               5
     14185         37               0               4
     15573         26               2               3
     15573         31               7               2
     16304         26               2               1
     16304         31               7               3
     16681         26               2               3
     16681         31               7               2
     17538         26               2               1
     17538         31               7               6
     17661         26               2               1
     17661         31               7               6
     18646         26               2               3
     18646         31               7               2
     23123         22               4               2
     23123         37               0               1
     23991         26               2               1
     23991         31               7               6
     24683         26               2               1
     24683         31               7               3
     25347         22               4               5
     25347         37               0               4
     25791         26               2               6
     25791         31               7               2
     28925         22               4               5
     28925         37               0               4
     30936         22               4               5
     30936         37               0               4
     32903         26               2               1
     32903         31               7               6
     34726         26               2               6
     34726         31               7               2
     35111         26               2               1
     35111         31               7               3
     35874         26               2               6
     35874         31               7               2
     36299         10               2               1
     36299         19               6               5
     36299         28               5               4
     36834         26               2               3
     36834         31               7               2
     37726         22               4               2
     37726         37               0               1
     37926         26               2               1
     37926         31               7               3
     39583         26               2               1
     39583         31               7               6
     40629         26               2               3
     40629         31               7               2
     41357         22               4               2
     41357         37               0               1
     42934         26               2               6
     42934         31               7               2
     44080         22               4               0
     44080         37               0               6
     46191         26               2               3
     46191         31               7               2
     47465         22               4               5
     47465         37               0               4
     48307         26               2               1
     48307         31               7               3
     48518         26               2               1
     48518         31               7               6
     50122         22               4               0
     50122         37               0               6
     51549         22               4               2
     51549         37               0               1
     52921         26               2               6
     52921         31               7               2
     53238         22               4               2
     53238         37               0               1
     54679         26               2               1
     54679         31               7               6
     56446         22               4               0
     56446         37               0               6
     56548         22               4               5
     56548         37               0               4
     57777         22               4               2
     57777         37               0               1
     60428         22               4               2
     60428         37               0               1
     60486         26               2               3
     60486         31               7               2
     61250         26               2               6
     61250         31               7               2
     61789         22               4               5
     61789         37               0               4
     61899         26               2               1
     61899         31               7               3
     63073         22               4               5
     63073         37               0               4
     66035         22               4               0
     66035         37               0               6
     67321         26               2               3
     67321         31               7               2
     67570         22               4               2
     67570         37               0               1
     67634         26               2               1
     67634         31               7               6
     68215         26               2               1
     68215         31               7               3
     69366         26               2               1
     69366         31               7               6
     69369         22               4               0
     69369         37               0               6
     69478         26               2               1
     69478         31               7               3
     69858         26               2               6
     69858         31               7               2
     70446         26               2               1
     70446         31               7               3
     74806         10               2               1
     74806         28               5               4
     74806         29               6               5
     74959         26               2               1
     74959         31               7               3
     75686         22               4               5
     75686         37               0               4
     76432         26               2               1
     76432         31               7               3
     76906         26               2               1
     76906         31               7               6
     77823         26               2               3
     77823         31               7               2
     79060         22               4               2
     79060         37               0               1
     80750         26               2               1
     80750         31               7               3
     82609         26               2               1
     82609         31               7               6
     84633         26               2               1
     84633         31               7               3
     84937         22               4               0
     84937         37               0               6
     85420         26               2               1
     85420         31               7               3
     85547         26               2               3
     85547         31               7               2
     85754         26               2               6
     85754         31               7               2
     86133         26               2               1
     86133         31               7               3
     86554         22               4               2
     86554         23               1               6
     86554         37               0               1
     89431         26               2               1
     89431         31               7               6
     90092         26               2               1
     90092         31               7               3
     91137         22               4               5
     91137         37               0               4
     91272         26               2               1
     91272         31               7               6
     92078         22               4               0
     92078         37               0               6
     93037         26               2               1
     93037         31               7               6
     93483         26               2               6
     93483         31               7               2
     95287         26               2               3
     95287         31               7               2
     96357         26               2               3
     96357         31               7               2
     99508         22               4               2
     99508         37               0               1
     99898         26               2               1
     99898         31               7               3
    100449         26               2               6
    100449         31               7               2
    100710         26               2               3
    100710         31               7               2
    101381         22               4               5
    101381         37               0               4
    101983         22               4               2
    101983         37               0               1
    102204         26               2               1
    102204         31               7               3
    102938         22               4               0
    102938         37               0               6
    104254         26               2               1
    104254         31               7               3
    104983         22               4               2
    104983         37               0               1
